,0,1,2,3,4,5,6,7,8,9,10,11
0,884,24,6,0,0,0,0,0,0,16,21,1
1,0,249,17,0,0,0,0,0,0,27,612,0
2,72,91,199,0,0,0,0,0,0,436,217,0
3,0,4,0,1155,0,1,0,71,17,34,0,0
4,0,1,5,13,182,0,0,0,305,0,3,6
5,0,0,0,0,0,797,0,0,10,18,183,3
6,0,9,0,439,0,1,269,83,301,49,9,12
7,1,7,15,56,0,1,0,328,55,98,8,11
8,0,1,0,58,0,23,0,20,299,68,18,11
9,0,5,17,10,0,199,0,3,12,514,140,0
10,0,48,3,0,0,33,0,0,0,263,890,0
11,0,0,0,15,21,0,1,1,82,13,0,308
