accuracy,loss,val_accuracy,val_loss
0.7393394112586975,0.9176563024520874,0.8402116298675537,0.5361752510070801
0.8507298231124878,0.5345900058746338,0.8779541254043579,0.44406235218048096
0.8664726614952087,0.473276287317276,0.8830687999725342,0.3891685903072357
0.8794814348220825,0.41756391525268555,0.8899471163749695,0.3827468454837799
0.8816421627998352,0.39035430550575256,0.8703703880310059,0.4309961199760437
0.8802751898765564,0.39584341645240784,0.8920634984970093,0.3579083979129791
0.8802751898765564,0.39136868715286255,0.9042328000068665,0.31876176595687866
0.8984874486923218,0.3341987133026123,0.902292788028717,0.33520767092704773
0.8924902081489563,0.35903400182724,0.9058201313018799,0.3189969062805176
0.8903294205665588,0.3549051880836487,0.8936507701873779,0.3345682621002197
0.8831415176391602,0.3635604679584503,0.8984127044677734,0.3332292437553406
0.8856550455093384,0.3539934456348419,0.9056437611579895,0.3209473192691803
0.9021916389465332,0.309044748544693,0.9003527164459229,0.3097003400325775
0.9122899770736694,0.28392452001571655,0.9209876656532288,0.2624492347240448
0.9183754324913025,0.262509822845459,0.9204585552215576,0.2578904926776886
0.9179344773292542,0.26451370120048523,0.9098765254020691,0.30626633763313293
0.9112757444381714,0.29473456740379333,0.9176366925239563,0.2814052999019623
0.9148476719856262,0.2829616069793701,0.9134038686752319,0.2839020788669586
0.9237112402915955,0.24600639939308167,0.9259259104728699,0.24444502592086792
0.9170525074005127,0.265936017036438,0.9273368716239929,0.239613339304924
0.9258720278739929,0.24530307948589325,0.9294532537460327,0.24250076711177826
0.9299290180206299,0.23244993388652802,0.9324514865875244,0.22997766733169556
0.9321779608726501,0.21979808807373047,0.9329805970191956,0.2266240119934082
0.9329276084899902,0.21903355419635773,0.9215167760848999,0.260908305644989
0.9250341653823853,0.22716182470321655,0.9222221970558167,0.25459209084510803
0.9316487908363342,0.2171081155538559,0.9252204298973083,0.25724002718925476
0.9293557405471802,0.22421544790267944,0.9312169551849365,0.22365014255046844
0.9342946410179138,0.20366773009300232,0.9366843104362488,0.22089338302612305
0.9409533739089966,0.18900059163570404,0.9372134208679199,0.21058997511863708
0.9440842866897583,0.17690739035606384,0.936331570148468,0.22630639374256134
0.9407328963279724,0.17442253232002258,0.9338624477386475,0.23789402842521667
0.9411298036575317,0.17577220499515533,0.940388023853302,0.20481941103935242
0.9429377913475037,0.17816708981990814,0.9398589134216309,0.21840640902519226
0.9391012787818909,0.19006898999214172,0.9315696358680725,0.23358212411403656
0.9374256134033203,0.1840459704399109,0.9416225552558899,0.19991648197174072
0.946906566619873,0.16323666274547577,0.9455026388168335,0.20307442545890808
0.9480971693992615,0.15853077173233032,0.9423280358314514,0.18722300231456757
0.9477885365486145,0.164559468626976,0.9414461851119995,0.19841323792934418
0.9539180397987366,0.14155378937721252,0.9451498985290527,0.18858838081359863
0.9520218968391418,0.13976146280765533,0.9414461851119995,0.19866003096103668
